姓名,职务,职称,核心研究方向,简介（30字内）,详细介绍（300字以内）,照片,课题,论文,专著,专利,软著,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Multi-channel hypergraph topic neural network for clinical treatment pattern mining,"大学计算机基础上机实践教程 第8版
（普通高等教育通识类课程教材）",多层次中医古籍症状标准化处理方法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,中医古籍指代关系语料库的构建与指代消解方法研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赵智慧,数字研究分实验室骨干,助理研究员,中医智能诊疗,致力于中医四诊客观化，建立基于面部动态数据的中医疾病辨识方法,致力于中医四诊客观化及智能辅助诊断，建立基于面部动态数据的体质辨识、气血辨识及证型辨识，并整合多源异构数据建立中医优势病种智能辨证模型，为中医面向移动诊疗的便捷化智能辅助诊疗提供新思路方法。,√,基于机器视觉与信号处理技术的“视觉脉诊”研究,PulseNet: Multi-task learning-based non-contact pulse condition diagnosis using multi-scale fusion and transformer,,一种基于面部视觉的多模态融合中医体质判别方法及系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,基于面部rPPG 视频的中医脉诊关键技术研究,基于深度学习多模态融合的2型糖尿病中医证素辨证模型的构建,,一种基于计算机视觉的面部视频判别中医气血系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,基于多波长光源的面部视频判别中医脉象的系统及方法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
谭超群,数字研究分实验室骨干,助理研究员,中药数智化检测与品质追溯研究,多年来以研究人员身份投身于中药数智化行业，对计算机视觉与智能化检测、品质追溯等全流程均有研究。,谭超群，四川大学工学博士/博士后，多年来以一线科研人员身份长期投身于中药数智化研究行业中，对中药样品标准化采集、多模态数据构建、外观-化学-功效关联分析、智能化质量检测模型开发、品质追溯平台整合等一系列生产流程和内容产出均有深入研究。近年来，先后主持国家自然科学基金青年基金、中国博士后科学基金、四川省博士后特别资助、四川省科技厅青年基金等项目4项，并参与国家科技部重大专项、国自然面上项目、省科技厅等项目5项。以第一作者或通讯作者在国内外知名期刊发表论文近20篇，累计发表论文30余篇，致力于将计算机视觉与深度学习技术应用于中药“辨状论质”理论的数智化表达，推动中药质量评价从传统经验向可量化、可追溯的智能化方向迈进。,√,基于多模态信息融合的中药“外观性状-化学成分-专家经验”质量属性关联表征新方法研究—以花椒为例,Semi-supervised Latent Diffusion Model for Biliary Atresia Class-imbalanced Image Recognition,,基于多尺度特征深度神经网络的半夏产地识别方法与系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,多模态数据驱动的基于“辨状论质”理论花椒品质智能评价方法研究,"Rapid identification of medicinal plants via 
visual feature-based deep learning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,基于跨模态注意力融合花椒多源感知数据关联解析与协同表征的智能质量评价方法研究,Fine-grained few-shot class-incremental identification of medicinal plants via frequencyaware contrastive learning.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,基于多源数据融合的中药“外观性状-化学成分-专家经验”质量属性关联表征新方法研究—以川贝母为例,Flavor Grading of Zanthoxylum Based on Computer Vision-Multi-Chromatography Fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Visual feature-based multi-scale hybrid attention network for fine-grained Hawthorn varieties identification.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,基于多尺度特征深度神经网络的不同产地山楂细粒度图像识别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毕洋,智能数据库构建分实验室骨干,助理研究员,,,,,医药考古视域下的川派中医溯源研究——以四川地区汉代墓葬材料为中心,《秦汉金文录》收录“厌胜牌”“宜月器”考,杏林选粹：巴蜀地区民间医药调查与保护利用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,成都老官山M3墓主人医学传承来源地的考古学研究,试论西藏阿里地区早期墓葬出土的陶器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,《天回医简·脉书》比类取象名物考证研究,汉代带柄方身器纹饰与图像探研,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,先秦时期的巫与巫医研究,试论工业考古与工业遗产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,《黄帝内经》“如操带钩”之带钩形制研究,论云南大理漾濞瓦厂草白幺出土的戈、矛、剑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,《天回医简》比类取象名物研究,《天回医简〈脉书·上经〉》之“脉句”与带钩浅议,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,考古学视域下秦汉时期贵州少数民族体育文化研究——以考古出土青铜剑为中心,先秦时期巫与巫医刍论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,《天回医简》考古发现的现实意义与价值研究,金石学著作收录带柄方身器纹饰探析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,天回医简研究,论贵州出土巴蜀式青铜剑形制的演变,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,出土医学简帛数据库构建研究,四川成都“天回医简”考古发现现实意义謭论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,新石器时期的巫与巫医初论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,论汉代卦气说视角下时令节气的疾病思想,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赖雪瑜,智能数据库构建分实验室骨干,讲师,出土医学文献,主要从事出土医学文献与文物研究，解读传世医籍,主要从事出土医学文献与文物研究，重点通过出土医学文献与文物的研究对传世医籍解读,√,古《针经》源流研究——以天回医简《脉书》上下经与传世医经为中心,天回医简《脉书·上经》“豆”字考及其脉象研究,《天回医简》线装本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,成都天回镇老官山M1号墓木牍研究,《天回医简》文中之训诂研究,中医百部经典（影印本）第二辑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,天回医简研究,《脉书·上经》重要语句三题,中医百部经典（影印本）第三辑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,出土医学简帛数据库构建研究,,杏林选粹：巴蜀地区民间医药调查与保护利用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雷霆,智能数据库构建分实验室骨干,助理研究员,出土医学文献整理研究,多年来以学者身份投身于中医科研行业中，对出土医学文献整理与数字化均有研究。,雷霆，男，湖南邵阳人。成都中医药大学中国出土医学文献与文物研究院助理研究员。湖南中医药大学中医医史文献专业毕业，获医学硕士学位；成都中医药大学中医医史文献专业毕业，获医学博士学位，师从医史文献专家柳长华教授。多年来以学者身份投身于中医科研行业中，对出土医学文献整理与数字化均有研究。研究方向为出土医学文献研究、古籍数字化、中医古籍整理。目前主要从事《天回医简》医学理论解读，与基于知识元的医学知识计算机表示方法研究。目前围绕《天回医简》已发表《天回汉墓医简<脉书·上经>简三七的编联及对风气致病传变规律的研究》《“誘愓”“訹愓”考兼论汉人对精神疾病认识》《<脉书·上经>四时疾病系统探析》 等论文数篇。,√,医经学视角下天回医简《逆顺五色脉臧验精神》的文献研究,天回汉墓医简《脉书·上经》简三七的编联及对风气致病传变规律的研究,《天回医简》线装本,,《天回医简》数据库软件V1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,天回医简研究,《素问》中《水热穴论篇》《骨空论篇》腧穴分类考,中医百部经典（影印本）第二辑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,《天回医简》比类取象名物研究,“誘愓”“訹愓”考兼论汉人对精神疾病认识,中医百部经典（影印本）第三辑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,《脉书·上经》中四时疾病系统探析,杏林选粹：巴蜀地区民间医药调查与保护利用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杨恺,智能数据库构建分实验室骨干,助理研究员,出土医学文献与文物,长期从事中医医史文献研究，对出土文献与文物等相关内容均有研究。,2018年成都中医药大学李斯炽班毕业，获医学学士学位；2021年成都中医药大学中医临床基础专业毕业，获医学硕士学位；2025年成都中医药大学中医医史文献专业毕业，获医学博士学位。主要研究方向为出土医学文献与文物。参与四川省社科基金特别委托重大项目“天回汉墓髹漆经脉人像研究”、四川省社科基金重大学术工程“《天回医简》研究”。2025年进入成都中医药大学中国出土医学文献与文物研究院工作，主要从事《天回医简》及出土医学文献与文物研究。,,《天回医简·犮理》文献与古治法源流研究,从简帛医方文献论汤液与本草渊源关系,《天回医简》线装本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,天回医简研究,《天回医简》诊损至脉相关词义新证,中医百部经典（影印本）第二辑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,出土医学简帛数据库的构建及模式研究,巴蜀医家张觉人稿本《外科问答》学术思想探析,中医百部经典（影印本）第三辑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,杏林选粹：巴蜀地区民间医药调查与保护利用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
